"ppltrst","lrscale","gender","age","married","urban","native","edulevel","paidwork","cntry"
NA,5,1,51,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,3,0,18,1,1,1,"Gymnasium",1,"DK"
NA,5,1,42,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,6,1,88,1,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,1,0,78,0,0,1,"Erhvervsuddannelse",0,"DK"
NA,4,1,44,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,3,1,20,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,5,0,45,1,0,1,"Lang videreg?ende",1,"DK"
NA,7,1,18,0,0,1,"Gymnasium",0,"DK"
NA,4,1,59,0,0,1,"Grundskole",0,"DK"
9,NA,0,44,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,5,1,62,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,6,0,63,0,0,1,"Gymnasium",1,"DK"
NA,5,0,21,0,1,1,"Gymnasium",1,"DK"
NA,3,1,67,1,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,7,1,53,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,NA,0,77,0,0,1,"Grundskole",0,"DK"
NA,5,0,63,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,8,1,59,0,0,1,"Erhvervsuddannelse",0,"DK"
NA,4,1,32,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
1,2,0,61,1,0,0,"Erhvervsuddannelse",0,"DK"
NA,3,0,48,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,3,1,35,0,0,0,"Lang videreg?ende",1,"DK"
NA,2,0,34,1,1,1,"Lang videreg?ende",1,"DK"
NA,5,1,81,1,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,5,0,63,1,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,4,0,78,1,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,2,0,29,0,1,1,"Lang videreg?ende",1,"DK"
NA,5,0,48,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,6,1,50,1,1,1,"Erhvervsuddannelse",1,"DK"
NA,4,1,53,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,3,0,49,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,1,69,1,0,1,"Grundskole",0,"DK"
NA,8,1,78,1,1,1,"Erhvervsuddannelse",0,"DK"
NA,4,1,53,1,0,1,"Gymnasium",0,"DK"
NA,5,1,34,0,0,0,"Gymnasium",0,"DK"
NA,5,1,45,1,1,1,"Erhvervsuddannelse",1,"DK"
5,NA,0,53,1,0,1,"Lang videreg?ende",1,"DK"
NA,5,1,23,0,0,1,"Lang videreg?ende",0,"DK"
